time,a,b,c,d
3299262169,19918,5776,19121,5779
3299324669,23872,16163,22033,29190
3299387169,29276,29182,28287,29179
3299449669,17046,5842,11386,5848
3299512170,276,5752,6248,5761
3299574669,18459,29202,29156,29349
3299637170,29264,29219,27434,29187
3299699669,278,5833,2743,5844
3299762170,276,5760,14136,5780
3299824669,29241,29229,29269,29209
3299887169,29276,29178,18174,13089
3299949670,277,5831,2524,5754
3300012170,275,5761,22872,18782
3300074670,29269,29209,29249,29304
3300137169,29275,13378,8330,5851
3300199670,276,5745,6944,5767
3300262169,8132,20801,29241,29289
3300324670,29269,29310,28780,29187
3300387170,4465,5837,3456,5845
3300449671,275,5755,13835,5780
3300512172,29239,29249,29269,29229
3300574673,29288,29186,20942,29183
3300637173,276,5837,2802,5849
3300699672,274,5760,21755,5794
3300762173,29249,29249,29269,29294
3300824673,29284,29181,10830,5857
3300887173,275,5830,6442,5764
3300949673,674,5782,29078,29329
3301012174,29249,29299,29260,29181
3301074674,22977,5853,4792,5842
3301137174,275,5756,12574,5778
3301199674,29238,29309,29229,29249
3301262174,29280,29188,24015,29185
3301324674,279,5837,8134,5861
3301387174,275,5762,23968,5791
3301449673,13593,5777,22012,5780
3301512173,16667,5779,21135,5781
3301574674,23869,5793,21269,5784
3301637173,25376,5788,20989,5778
3301699674,26255,5791,20791,5778
3301762173,26353,5789,20613,5779
3301824674,26018,5785,20512,5778
3301887173,25430,5788,20294,5777
3301949674,25153,5785,20174,5781
3302012173,24452,5783,20084,5778
3302074674,23943,5782,19954,5777
3302137174,23583,5782,19805,5777
3302199673,23273,5783,19753,5779
3302262174,22687,5781,19692,5778
3302324674,22430,5778,19645,5779
3302387175,22208,5783,19539,5772
3302449674,21832,5781,19422,5779
3302512174,21555,5784,19394,5779
3302574675,21453,5783,19385,5780
3302637174,21144,5777,19329,5782
3302699675,20970,5782,19275,5777
3302762176,20784,5782,19283,5781
3302824676,20490,5780,19220,5779
3302887176,20356,5780,19183,5780
3302949677,20144,5776,19187,5779
3303012177,20019,5778,19183,5777
3303074678,19892,5779,19174,5780
3303137177,19841,5785,19132,5779
3303199677,19743,5774,19090,5778
3303262177,19706,5783,19080,5778
3303324677,29274,29187,26762,29183
3303387178,28787,5871,14297,5858
3303449678,277,5753,6847,5761
3303512177,24795,29199,29234,29349
3303574677,29260,29206,26821,29185
3303637178,278,5833,2228,5843
3303699678,275,5760,14906,5782
3303762178,29249,29229,29249,29229
3303824678,29284,29180,17597,9846
3303887178,276,5831,2653,5755
3303949679,277,5764,23323,21162
3304012180,29269,29209,29249,29294
3304074680,29275,10136,8043,5853
3304137180,276,5748,7252,5769
3304199679,9529,22858,29244,29249
3304262180,29259,29298,28583,29186
3304324680,2952,5839,3275,5845
3304387180,275,5761,14195,5786
3304449680,29249,29229,29249,29249
3304512179,29286,29187,20558,29174
3304574679,276,5833,2809,5846
3304637180,275,5765,22039,5794
3304699680,29269,29209,29269,29299
3304762180,29278,29165,10493,5855
3304824680,276,5829,6576,5767
3304887180,900,5789,29163,29309
3304949681,29249,29309,29252,29183
