=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
461,-37,37,7,0,14,0
462,-33,38,7,0,14,0
463,-39,36,7,0,14,0
464,-49,35,7,0,14,0
465,-42,37,7,0,14,0
466,-44,39,7,0,14,0
467,-49,36,7,0,14,0
468,-45,41,7,0,14,0
469,-49,39,7,0,14,0
470,-45,41,7,0,14,0
471,-46,39,7,0,14,0
472,-46,40,7,0,14,0
473,-41,39,7,0,14,0
474,-41,44,7,0,14,0
475,-43,37,7,0,14,0
476,-45,39,7,0,14,0
477,-39,42,7,0,14,0
478,-44,41,7,0,14,0
479,-45,39,7,0,14,0
480,-139,45,7,0,15,1
481,-148,46,7,0,15,1
482,-150,44,7,0,15,1
483,-45,38,7,0,15,1
484,-45,37,7,0,15,1
485,-46,39,7,0,15,1
486,-143,45,7,0,15,1
487,-145,45,7,0,15,1
488,-52,40,7,0,15,1
489,-46,40,7,0,15,1
490,-45,41,7,0,15,1
491,-141,47,7,0,15,1
492,-142,48,7,0,15,1
493,-144,45,7,0,15,1
494,-47,39,7,0,15,1
495,-44,34,7,0,15,1
496,-44,36,7,0,15,1
497,-146,46,7,0,15,1
498,-141,46,7,0,15,1
499,-45,35,7,0,15,1
500,-50,39,7,0,15,1
501,-51,40,7,0,15,1
502,-146,44,7,0,15,1
503,-148,43,7,0,15,1
504,-147,44,7,0,15,1
505,-46,40,7,0,15,1
506,-46,41,7,0,15,1
507,-147,48,7,0,15,1
508,-148,47,7,0,15,1
509,-150,51,7,0,15,1
510,-47,37,7,0,15,1
511,-47,39,7,0,15,1
512,-46,40,8,0,16,0
513,-45,39,8,0,16,0
514,-42,43,8,0,16,0
515,-44,38,8,0,16,0
